date,county,state,cases,deaths
2020-11-10,McLean,Kentucky,274,8
2020-11-10,Meade,Kentucky,545,4
2020-11-10,Menifee,Kentucky,102,1
2020-11-10,Mercer,Kentucky,451,6
2020-11-10,Metcalfe,Kentucky,289,2
2020-11-10,Monroe,Kentucky,498,5
2020-11-10,Montgomery,Kentucky,688,7
2020-11-10,Morgan,Kentucky,184,0
2020-11-10,Muhlenberg,Kentucky,1102,20
2020-11-10,Nelson,Kentucky,1444,4
2020-11-10,Nicholas,Kentucky,132,3
2020-11-10,Ohio,Kentucky,715,11
2020-11-10,Oldham,Kentucky,1632,26
2020-11-10,Owen,Kentucky,141,3
2020-11-10,Owsley,Kentucky,109,1
2020-11-10,Pendleton,Kentucky,177,1
2020-11-10,Perry,Kentucky,689,9
2020-11-10,Pike,Kentucky,1311,5
2020-11-10,Powell,Kentucky,220,0
2020-11-10,Pulaski,Kentucky,1314,13
2020-11-10,Robertson,Kentucky,50,1
2020-11-10,Rockcastle,Kentucky,424,2
2020-11-10,Rowan,Kentucky,496,2
2020-11-10,Russell,Kentucky,487,9
2020-11-10,Scott,Kentucky,1322,20
2020-11-10,Shelby,Kentucky,1699,25
2020-11-10,Simpson,Kentucky,457,9
2020-11-10,Spencer,Kentucky,408,1
2020-11-10,Taylor,Kentucky,724,7
2020-11-10,Todd,Kentucky,334,13
2020-11-10,Trigg,Kentucky,288,0
2020-11-10,Trimble,Kentucky,121,0
2020-11-10,Union,Kentucky,573,6
2020-11-10,Warren,Kentucky,6030,59
2020-11-10,Washington,Kentucky,345,3
2020-11-10,Wayne,Kentucky,397,2
2020-11-10,Webster,Kentucky,406,5
2020-11-10,Whitley,Kentucky,1082,8
2020-11-10,Wolfe,Kentucky,109,0
2020-11-10,Woodford,Kentucky,490,0
2020-11-10,Acadia,Louisiana,3389,107
2020-11-10,Allen,Louisiana,1899,64
2020-11-10,Ascension,Louisiana,4493,100
2020-11-10,Assumption,Louisiana,841,24
2020-11-10,Avoyelles,Louisiana,1815,65
2020-11-10,Beauregard,Louisiana,1132,43
2020-11-10,Bienville,Louisiana,651,35
2020-11-10,Bossier,Louisiana,4717,127
2020-11-10,Caddo,Louisiana,10953,413
2020-11-10,Calcasieu,Louisiana,8736,231
2020-11-10,Caldwell,Louisiana,408,3
2020-11-10,Cameron,Louisiana,255,3
2020-11-10,Catahoula,Louisiana,477,15
2020-11-10,Claiborne,Louisiana,632,26
2020-11-10,Concordia,Louisiana,676,17
2020-11-10,De Soto,Louisiana,1087,35
2020-11-10,East Baton Rouge,Louisiana,16793,462
2020-11-10,East Carroll,Louisiana,606,6
2020-11-10,East Feliciana,Louisiana,1808,81
2020-11-10,Evangeline,Louisiana,1501,40
2020-11-10,Franklin,Louisiana,1418,52
2020-11-10,Grant,Louisiana,558,31
2020-11-10,Iberia,Louisiana,3153,99
2020-11-10,Iberville,Louisiana,1549,62
2020-11-10,Jackson,Louisiana,914,24
2020-11-10,Jefferson,Louisiana,19302,592
2020-11-10,Jefferson Davis,Louisiana,1414,45
2020-11-10,LaSalle,Louisiana,548,11
2020-11-10,Lafayette,Louisiana,9808,141
2020-11-10,Lafourche,Louisiana,3998,131
2020-11-10,Lincoln,Louisiana,1785,53
2020-11-10,Livingston,Louisiana,4402,82
2020-11-10,Madison,Louisiana,916,10
2020-11-10,Morehouse,Louisiana,942,29
2020-11-10,Natchitoches,Louisiana,1626,35
2020-11-10,Orleans,Louisiana,14034,602
2020-11-10,Ouachita,Louisiana,7441,173
2020-11-10,Plaquemines,Louisiana,924,19
2020-11-10,Pointe Coupee,Louisiana,1171,42
2020-11-10,Rapides,Louisiana,4934,165
2020-11-10,Red River,Louisiana,501,25
2020-11-10,Richland,Louisiana,962,21
2020-11-10,Sabine,Louisiana,1087,16
2020-11-10,St. Bernard,Louisiana,1609,32
2020-11-10,St. Charles,Louisiana,2008,65
2020-11-10,St. Helena,Louisiana,446,4
2020-11-10,St. James,Louisiana,861,40
2020-11-10,St. John the Baptist,Louisiana,1727,108
2020-11-10,St. Landry,Louisiana,3880,140
2020-11-10,St. Martin,Louisiana,2328,65
2020-11-10,St. Mary,Louisiana,2087,87
2020-11-10,St. Tammany,Louisiana,8048,277
2020-11-10,Tangipahoa,Louisiana,5151,129
2020-11-10,Tensas,Louisiana,191,3
2020-11-10,Terrebonne,Louisiana,3972,126
2020-11-10,Union,Louisiana,1174,54
2020-11-10,Unknown,Louisiana,5325,229
2020-11-10,Vermilion,Louisiana,2189,70
2020-11-10,Vernon,Louisiana,1159,56
